Occupation,Total Employees,Hourly Mean,Annual Mean,Hourly Median,Annual Median
Nurse Anesthetists,43950,97.34,202470,94.04,195610
Nurse Midwives,7750,54.91,114210,54.24,112830
Nurse Practitioners,234690,56.75,118040,58.02,120680
Audiologists,13240,41.37,86050,37.96,78950
"Pediatricians, General",33620,95.40,198420,81.96,170480
Miscellaneous Healthcare Diagnosing or Treating Practitioners,240690,40.65,84550,37.45,77900
Acupuncturists,7250,34.51,71770,29.12,60570
Dental Hygienists,207190,39.12,81360,37.41,77810
"Healthcare Diagnosing or Treating Practitioners, All Other",26250,54.44,113230,48.22,100300
Health Technologists and Technicians,2887210,24.18,50300,22.55,46910
Clinical Laboratory Technologists and Technicians,318780,27.36,56910,27.79,57800
Diagnostic Related Technologists and Technicians,408390,34.03,70780,32.26,67100
Cardiovascular Technologists and Technicians,55760,29.82,62020,29.12,60570
Diagnostic Medical Sonographers,78640,38.79,80680,37.38,77740
Nuclear Medicine Technologists,17140,40.79,84850,37.86,78760
Radiologic Technologists and Technicians,216380,31.97,66490,29.50,61370
Magnetic Resonance Imaging Technologists,38070,37.41,77820,37.19,77360
Medical Dosimetrists,2400,59.98,124750,61.19,127270
Emergency Medical Technicians and Paramedics,257910,19.94,41480,17.76,36930
Emergency Medical Technicians,161400,17.64,36690,17.05,35470
Paramedics,96510,23.80,49500,22.48,46770
Health Practitioner Support Technologists and Technicians,845080,19.31,40170,17.78,36980
Dietetic Technicians,21610,16.42,34160,14.19,29520
Pharmacy Technicians,436630,18.25,37970,17.66,36740
Psychiatric Technicians,93410,18.27,38000,17.58,36570
Surgical Technologists,109060,25.77,53590,23.33,48530
Veterinary Technologists and Technicians,118670,18.39,38250,17.72,36850
Ophthalmic Medical Technicians,65700,19.77,41120,17.87,37180
Licensed Practical and Licensed Vocational Nurses,641240,24.93,51850,23.11,48070
Medical Records Specialists,180570,23.23,48310,22.43,46660
"Opticians, Dispensing",73270,20.70,43060,18.06,37570
Miscellaneous Health Technologists and Technicians,161980,24.96,51910,22.42,46640
Orthotists and Prosthetists,10410,38.38,79820,36.27,75440
Hearing Aid Specialists,10790,28.83,59960,28.61,59500
"Health Technologists and Technicians, All Other",140770,23.67,49230,21.98,45720
Other Healthcare Practitioners and Technical Occupations,128060,29.55,61470,26.19,54480
Health Information Technologists and Medical Registrars,37900,29.53,61410,26.71,55560
Miscellaneous Health Practitioners and Technical Workers,90160,29.56,61490,25.97,54010
Genetic Counselors,2740,41.65,86640,38.54,80150
Surgical Assistants,17250,28.45,59170,23.23,48320
"Healthcare Practitioners and Technical Workers, All Other",44100,31.19,64880,28.25,58750
Healthcare Support Occupations,6603680,16.02,33330,14.37,29880
"Home Health and Personal Care Aides; and Nursing Assistants, Orderlies, and Psychiatric Aides",4765620,14.64,30440,14.24,29620
Home Health and Personal Care Aides,3366480,14.07,29260,14.15,29430
"Nursing Assistants, Orderlies, and Psychiatric Aides",1399130,16.01,33290,14.56,30290
Nursing Assistants,1314830,15.99,33250,14.57,30310
Orderlies,45160,16.08,33440,14.42,29990
Psychiatric Aides,39140,16.65,34640,14.55,30260
Occupational Therapy and Physical Therapist Assistants and Aides,181410,25.91,53900,27.87,57980
Occupational Therapy Assistants and Aides,45350,29.69,61760,29.58,61520
Occupational Therapy Assistants,41980,30.56,63560,29.68,61730
Occupational Therapy Aides,3370,18.86,39230,16.14,33560
Physical Therapist Assistants and Aides,136050,24.65,51280,23.64,49180
Physical Therapist Assistants,93660,29.20,60740,29.42,61180
Physical Therapist Aides,42390,14.60,30370,14.04,29200
Other Healthcare Support Occupations,1656660,18.93,39360,17.97,37370
Massage Therapists,81030,23.68,49260,22.55,46910
Miscellaneous Healthcare Support Occupations,1575620,18.68,38860,17.94,37310
Dental Assistants,347170,20.44,42510,18.59,38660
Medical Assistants,727760,18.36,38190,17.88,37190
Medical Equipment Preparers,61170,20.40,42420,18.37,38220
Medical Transcriptionists,55830,16.45,34220,14.47,30100
Pharmacy Aides,43560,16.61,34560,14.39,29930
Veterinary Assistants and Laboratory Animal Caretakers,98970,15.28,31780,14.32,29780
Phlebotomists,132750,18.49,38450,17.97,37380
"Healthcare Support Workers, All Other",108410,19.56,40690,18.14,37740
Protective Service Occupations,3385030,25.68,53420,22.40,46590
Supervisors of Protective Service Workers,342810,38.95,81010,37.16,77290
First-Line Supervisors of Law Enforcement Workers,182700,43.32,90110,39.15,81430
First-Line Supervisors of Correctional Officers,54470,33.53,69750,29.91,62220
First-Line Supervisors of Police and Detectives,128230,47.48,98760,47.76,99330
First-Line Supervisors of Firefighting and Prevention Workers,80890,40.03,83270,37.61,78230
"Miscellaneous First-Line Supervisors, Protective Service Workers",79230,27.75,57730,25.23,52480
First-Line Supervisors of Security Workers,55450,26.48,55080,24.15,50240
"First-Line Supervisors of Protective Service Workers, All Other",23780,30.73,63910,29.33,61010
Firefighting and Prevention Workers,334670,26.88,55910,24.49,50930
Firefighters,317310,26.58,55290,24.38,50700
Fire Inspectors,17370,32.32,67230,30.33,63080
Fire Inspectors and Investigators,14600,33.50,69680,31.06,64600
Forest Fire Inspectors and Prevention Specialists,2770,26.12,54340,20.48,42600
Law Enforcement Workers,1200060,31.91,66370,29.42,61190
"Bailiffs, Correctional Officers, and Jailers",409020,25.66,53380,23.04,47920
Bailiffs,16420,25.16,52340,23.23,48320
Correctional Officers and Jailers,392600,25.69,53420,23.04,47920
Detectives and Criminal Investigators,107890,43.45,90370,40.21,83640
Fish and Game Wardens,6730,27.98,58190,29.20,60730
Parking Enforcement Workers,7450,22.14,46050,22.40,46590
Police Officers,668970,34.01,70740,31.06,64610
Police and Sheriff's Patrol Officers,665380,34.02,70750,31.06,64610
Transit and Railroad Police,3590,33.45,69570,31.21,64930
Other Protective Service Workers,1507480,17.44,36280,15.17,31550
Animal Control Workers,11600,20.49,42620,18.83,39160
Private Detectives and Investigators,28860,29.31,60970,28.55,59380
Security Guards and Gambling Surveillance Officers,1066280,17.24,35860,15.13,31470
Gambling Surveillance Officers and Gambling Investigators,9190,18.31,38080,17.04,35450
Security Guards,1057100,17.23,35830,15.13,31470
Miscellaneous Protective Service Workers,400740,17.04,35450,15.11,31430
Crossing Guards and Flaggers,82690,17.15,35670,15.12,31450
"Lifeguards, Ski Patrol, and Other Recreational Protective Service Workers",114320,13.14,27320,12.32,25630
Transportation Security Screeners,48320,22.30,46380,21.86,45470
School Bus Monitors,55310,14.53,30220,13.99,29100
"Protective Service Workers, All Other",100110,20.27,42160,18.37,38210
Food Preparation and Serving Related Occupations,11201480,14.16,29450,13.65,28400
Supervisors of Food Preparation and Serving Workers,1170410,19.77,41130,17.85,37130
Chefs and Head Cooks,129810,27.37,56920,24.11,50160
First-Line Supervisors of Food Preparation and Serving Workers,1040600,18.82,39150,17.58,36570
Cooks and Food Preparation Workers,3281610,14.13,29380,13.99,29100
Cooks,2498260,14.21,29560,14.00,29120
"Cooks, Fast Food",768130,12.25,25490,11.63,24180
"Cooks, Institution and Cafeteria",392860,15.15,31520,14.38,29910
"Cooks, Private Household",440,20.80,43260,20.63,42920
"Cooks, Restaurant",1193860,15.21,31630,14.43,30010
"Cooks, Short Order",124800,13.51,28110,13.73,28560
"Cooks, All Other",18170,16.05,33390,14.77,30720
Food Preparation Workers,783350,13.85,28810,13.84,28780
Food and Beverage Serving Workers,5627500,13.23,27520,12.50,26000
Bartenders,485330,14.59,30340,12.67,26350
Fast Food and Counter Workers,3095120,12.53,26060,12.07,25100
Waiters and Waitresses,1804030,13.95,29010,12.50,26000
"Food Servers, Nonrestaurant",243030,14.19,29500,13.81,28730
Other Food Preparation and Serving Related Workers,1121960,13.06,27170,13.17,27400
Dining Room and Cafeteria Attendants and Bartender Helpers,336970,13.31,27690,13.06,27170
Dishwashers,377040,13.15,27350,13.52,28130
"Hosts and Hostesses, Restaurant, Lounge, and Coffee Shop",324690,12.50,26000,11.83,24600
Miscellaneous Food Preparation and Serving Related Workers,83240,13.83,28760,14.00,29120
"Food Preparation and Serving Related Workers, All Other",83240,13.83,28760,14.00,29120
Building and Grounds Cleaning and Maintenance Occupations,4108810,16.23,33750,14.54,30240
Supervisors of Building and Grounds Cleaning and Maintenance Workers,270020,23.38,48620,22.42,46640
First-Line Supervisors of Building and Grounds Cleaning and Maintenance Workers,270020,23.38,48620,22.42,46640
First-Line Supervisors of Housekeeping and Janitorial Workers,153640,21.68,45100,19.05,39630
"First-Line Supervisors of Landscaping, Lawn Service, and Groundskeeping Workers",116380,25.61,53270,23.46,48800
Building Cleaning and Pest Control Workers,2862840,15.19,31590,14.25,29640
Building Cleaning Workers,2777470,15.05,31310,14.20,29540
"Janitors and Cleaners, Except Maids and Housekeeping Cleaners",2036680,15.32,31860,14.31,29760
Maids and Housekeeping Cleaners,723430,14.22,29580,13.84,28780
"Building Cleaning Workers, All Other",17350,18.52,38530,16.51,34350
Pest Control Workers,85370,19.54,40640,18.05,37540
Grounds Maintenance Workers,975950,17.29,35960,17.05,35460
Landscaping and Groundskeeping Workers,892450,16.94,35240,16.55,34430
"Pesticide Handlers, Sprayers, and Applicators, Vegetation",25820,19.47,40500,18.40,38270
Tree Trimmers and Pruners,41920,22.81,47450,22.58,46970
"Grounds Maintenance Workers, All Other",15770,18.81,39120,17.57,36540
Personal Care and Service Occupations,2566440,16.17,33620,14.16,29450
Supervisors of Personal Care and Service Workers,187400,22.57,46950,21.67,45070
First-Line Supervisors of Entertainment and Recreation Workers,86370,23.25,48370,22.62,47040
First-Line Supervisors of Gambling Services Workers,19510,25.28,52590,23.63,49140
"First-Line Supervisors of Entertainment and Recreation Workers, Except Gambling Services",66860,22.66,47130,21.57,44870
First-Line Supervisors of Personal Service Workers,101030,21.99,45730,19.42,40390
Animal Care and Service Workers,241520,14.47,30100,13.81,28730
Animal Trainers,15840,18.38,38230,15.04,31280
Animal Caretakers,225680,14.19,29520,13.75,28600
Entertainment Attendants and Related Workers,418960,13.06,27170,12.00,24960
Gambling Services Workers,82860,14.11,29340,12.32,25630
Gambling Dealers,64700,13.92,28960,12.00,24960
Gambling and Sports Book Writers and Runners,7340,14.00,29110,13.24,27530
"Gambling Service Workers, All Other",10820,15.28,31790,13.94,28990
Motion Picture Projectionists,1620,15.85,32970,14.11,29350
"Ushers, Lobby Attendants, and Ticket Takers",54970,12.69,26390,11.75,24440
Miscellaneous Entertainment Attendants and Related Workers,279510,12.81,26650,11.93,24800
Amusement and Recreation Attendants,262170,12.55,26110,11.78,24500
Costume Attendants,3380,26.25,54590,23.00,47850
"Locker Room, Coatroom, and Dressing Room Attendants",9670,14.53,30220,13.74,28570
"Entertainment Attendants and Related Workers, All Other",4290,14.27,29680,11.62,24170
Funeral Service Workers,63300,20.58,42800,17.54,36490
Embalmers and Crematory Operators,6110,22.77,47350,21.62,44960
Embalmers,4070,24.62,51210,22.97,47780
Crematory Operators,2040,19.07,39660,18.03,37490
Funeral Attendants,32490,15.21,31630,14.05,29230
"Morticians, Undertakers, and Funeral Arrangers",24700,27.10,56360,23.53,48950
Personal Appearance Workers,481530,16.99,35350,14.22,29590
"Barbers, Hairdressers, Hairstylists and Cosmetologists",298880,17.30,35980,14.27,29680
Barbers,12910,17.16,35700,14.41,29970
"Hairdressers, Hairstylists, and Cosmetologists",285980,17.30,35990,14.26,29670
Miscellaneous Personal Appearance Workers,182640,16.50,34310,14.16,29450
"Makeup Artists, Theatrical and Performance",1960,59.80,124380,64.78,134750
Manicurists and Pedicurists,120540,14.65,30480,14.05,29210
Shampooers,9560,12.09,25160,11.75,24440
Skincare Specialists,50580,20.05,41700,17.93,37300
"Baggage Porters, Bellhops, and Concierges",54100,16.68,34680,14.77,30720
Baggage Porters and Bellhops,20530,14.44,30040,14.00,29120
Concierges,33560,18.04,37520,16.93,35210
Tour and Travel Guides,30980,15.96,33200,14.32,29780
Other Personal Care and Service Workers,1088670,15.99,33260,14.20,29540
Childcare Workers,438520,13.31,27680,13.22,27490
Recreation and Fitness Workers,485620,18.43,38340,14.87,30930
Exercise Trainers and Group Fitness Instructors,221600,22.05,45870,19.57,40700
Recreation Workers,264020,15.39,32020,14.27,29680
Residential Advisors,92500,16.81,34950,15.01,31220
Miscellaneous Personal Care and Service Workers,72030,14.80,30790,14.24,29610
"Personal Care and Service Workers, All Other",72030,14.80,30790,14.24,29610
Sales and Related Occupations,13256290,22.15,46080,14.71,30600
Supervisors of Sales Workers,1387190,26.38,54880,22.52,46850
First-Line Supervisors of Sales Workers,1387190,26.38,54880,22.52,46850
First-Line Supervisors of Retail Sales Workers,1143260,22.54,46890,18.86,39230
First-Line Supervisors of Non-Retail Sales Workers,243920,44.38,92320,38.31,79680
Retail Sales Workers,7665410,14.45,30060,13.79,28680
Cashiers,3335170,12.88,26780,13.12,27280
Cashiers,3318020,12.87,26770,13.11,27260
Gambling Change Persons and Booth Cashiers,17150,14.00,29130,13.75,28600
Counter and Rental Clerks and Parts Salespersons,636750,17.54,36480,15.28,31780
Counter and Rental Clerks,371620,17.39,36170,15.06,31330
Parts Salespersons,265130,17.75,36920,16.47,34260
Retail Salespersons,3693490,15.35,31920,14.00,29120
"Sales Representatives, Services",2009700,35.95,74770,29.11,60550
Advertising Sales Agents,96660,31.99,66540,25.16,52340
Insurance Sales Agents,422600,33.34,69340,23.96,49840
"Securities, Commodities, and Financial Services Sales Agents",426870,44.84,93260,30.25,62910
Travel Agents,37190,22.39,46580,21.06,43810
"Miscellaneous Sales Representatives, Services",1026390,34.19,71110,29.11,60550
"Sales Representatives of Services, Except Advertising, Insurance, Financial Services, and Travel",1026390,34.19,71110,29.11,60550
"Sales Representatives, Wholesale and Manufacturing",1508660,37.38,77750,30.24,62890
"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products",266160,49.40,102750,45.60,94840
"Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products",1242490,34.81,72390,29.61,61600
Other Sales and Related Workers,685330,25.76,53580,17.59,36590
"Models, Demonstrators, and Product Promoters",42670,19.01,39550,15.73,32730
Demonstrators and Product Promoters,40680,17.78,36990,15.55,32350
Real Estate Brokers and Sales Agents,224380,32.16,66880,23.45,48770
Real Estate Brokers,48460,41.58,86490,29.81,62010
Real Estate Sales Agents,175920,29.56,61480,23.24,48340
Sales Engineers,59550,57.03,118630,49.86,103710
Telemarketers,115130,14.74,30670,13.90,28910
Miscellaneous Sales and Related Workers,243600,18.61,38720,14.22,29570
"Door-to-Door Sales Workers, News and Street Vendors, and Related Workers",7860,16.81,34970,14.13,29390
"Sales and Related Workers, All Other",235740,18.67,38840,14.22,29570
Office and Administrative Support Occupations,18299380,20.88,43430,18.29,38050
Supervisors of Office and Administrative Support Workers,1443630,30.47,63380,29.13,60590
First-Line Supervisors of Office and Administrative Support Workers,1443630,30.47,63380,29.13,60590
Communications Equipment Operators,53400,16.98,35310,14.77,30720
"Switchboard Operators, Including Answering Service",48190,16.63,34590,14.50,30150
Telephone Operators,3870,18.93,39370,18.09,37630
Miscellaneous Communications Equipment Operators,1340,23.79,49470,22.60,47000
"Communications Equipment Operators, All Other",1340,23.79,49470,22.60,47000
Financial Clerks,2768230,20.84,43340,18.67,38830
Bill and Account Collectors,212900,19.85,41280,18.13,37700
Billing and Posting Clerks,429080,20.55,42750,18.43,38330
"Bookkeeping, Accounting, and Auditing Clerks",1509370,21.70,45140,21.90,45560
Gambling Cage Workers,11140,14.79,30770,14.12,29360
Payroll and Timekeeping Clerks,149290,23.83,49560,22.89,47610
Procurement Clerks,61930,21.60,44930,21.71,45150
Tellers,364210,16.79,34930,17.46,36310
Miscellaneous Financial Clerks,30310,23.00,47830,22.55,46900
"Financial Clerks, All Other",30310,23.00,47830,22.55,46900
Information and Record Clerks,5461400,18.59,38670,17.68,36770
Brokerage Clerks,39980,27.75,57710,25.96,54000
Correspondence Clerks,7060,20.06,41710,18.23,37920
"Court, Municipal, and License Clerks",150170,21.57,44870,21.45,44610
"Credit Authorizers, Checkers, and Clerks",16820,21.42,44540,21.49,44710
Customer Service Representatives,2787070,18.79,39070,17.75,36920
"Eligibility Interviewers, Government Programs",151340,23.35,48570,22.80,47420
File Clerks,85460,17.70,36820,17.48,36360
"Hotel, Motel, and Resort Desk Clerks",220380,13.48,28040,13.50,28080
"Interviewers, Except Eligibility and Loan",169840,18.67,38840,17.89,37220
"Library Assistants, Clerical",78470,15.62,32490,14.16,29450
Loan Interviewers and Clerks,238610,21.59,44910,22.09,45940
New Accounts Clerks,40500,19.83,41250,18.19,37840
Order Clerks,133850,20.11,41820,18.23,37920
"Human Resources Assistants, Except Payroll and Timekeeping",102770,21.56,44840,21.94,45630
Receptionists and Information Clerks,983150,15.82,32910,14.40,29950
Reservation and Transportation Ticket Agents and Travel Clerks,100860,21.94,45630,19.18,39900
Miscellaneous Information and Record Clerks,155080,21.13,43950,20.75,43160
"Information and Record Clerks, All Other",155080,21.13,43950,20.75,43160
"Material Recording, Scheduling, Dispatching, and Distributing Workers",2213750,21.97,45710,20.21,42030
Cargo and Freight Agents,85750,23.28,48420,22.55,46910
Couriers and Messengers,68310,16.48,34270,15.89,33050
Dispatchers,291380,22.49,46780,21.88,45510
Public Safety Telecommunicators,97050,22.61,47030,22.44,46670
"Dispatchers, Except Police, Fire, and Ambulance",194330,22.43,46650,21.18,44050
"Meter Readers, Utilities",24000,22.81,47430,21.98,45720
Postal Service Workers,527000,25.71,53480,24.87,51730
Postal Service Clerks,79320,25.58,53210,25.14,52290
Postal Service Mail Carriers,335540,26.14,54370,25.21,52440
"Postal Service Mail Sorters, Processors, and Processing Machine Operators",112130,24.52,51010,23.34,48550
"Production, Planning, and Expediting Clerks",367200,25.11,52220,23.10,48040
"Shipping, Receiving, and Inventory Clerks",795360,18.37,38210,17.74,36890
"Weighers, Measurers, Checkers, and Samplers, Recordkeeping",54760,19.01,39540,18.08,37610
Secretaries and Administrative Assistants,3104790,21.76,45250,19.08,39680
Executive Secretaries and Executive Administrative Assistants,466910,32.15,66870,29.84,62060
Legal Secretaries and Administrative Assistants,155250,25.26,52540,22.94,47710
Medical Secretaries and Administrative Assistants,656640,19.11,39740,18.01,37450
"Secretaries and Administrative Assistants, Except Legal, Medical, and Executive",1825980,19.75,41080,18.21,37880
Other Office and Administrative Support Workers,3254180,18.98,39480,17.88,37180
Data Entry and Information Processing Workers,189100,18.07,37590,17.72,36850
Data Entry Keyers,147170,17.28,35940,17.13,35630
Word Processors and Typists,41930,20.85,43370,21.17,44030
Desktop Publishers,7600,24.49,50930,22.55,46910
Insurance Claims and Policy Processing Clerks,218300,22.02,45790,21.89,45520
"Mail Clerks and Mail Machine Operators, Except Postal Service",69400,16.54,34390,15.65,32550
"Office Clerks, General",2578180,18.75,38990,17.81,37030
"Office Machine Operators, Except Computer",32920,17.84,37110,17.61,36630
Proofreaders and Copy Markers,5340,22.12,46010,21.12,43940
Statistical Assistants,6190,25.68,53420,23.16,48160
Miscellaneous Office and Administrative Support Workers,147140,20.47,42580,18.22,37900
"Office and Administrative Support Workers, All Other",147140,20.47,42580,18.22,37900
"Farming, Fishing, and Forestry Occupations",452490,16.70,34730,14.36,29860
"Supervisors of Farming, Fishing, and Forestry Workers",25770,26.18,54450,23.38,48640
"First-Line Supervisors of Farming, Fishing, and Forestry Workers",25770,26.18,54450,23.38,48640
Agricultural Workers,383760,15.60,32450,14.27,29680
Agricultural Inspectors,13630,22.80,47430,21.70,45140
Animal Breeders,950,20.81,43270,19.28,40090
"Graders and Sorters, Agricultural Products",25560,14.62,30400,14.25,29630
Miscellaneous Agricultural Workers,343630,15.37,31980,14.27,29680
Agricultural Equipment Operators,26180,17.44,36280,17.48,36360
"Farmworkers and Laborers, Crop, Nursery, and Greenhouse",277200,15.11,31440,14.25,29630
"Farmworkers, Farm, Ranch, and Aquacultural Animals",34140,15.46,32150,14.25,29630
"Agricultural Workers, All Other",6100,17.88,37190,15.65,32550
"Forest, Conservation, and Logging Workers",42330,20.83,43320,18.77,39050
Forest and Conservation Workers,6300,16.20,33690,14.69,30550
Logging Workers,36030,21.63,45000,22.27,46330
Fallers,4170,25.85,53760,22.94,47700
Logging Equipment Operators,25510,21.14,43960,22.31,46400
Log Graders and Scalers,3260,19.96,41520,18.18,37820
"Logging Workers, All Other",3080,21.84,45430,22.16,46090
Construction and Extraction Occupations,5848950,26.87,55900,23.18,48210
Supervisors of Construction and Extraction Workers,665870,36.09,75060,34.62,72010
First-Line Supervisors of Construction Trades and Extraction Workers,665870,36.09,75060,34.62,72010
Construction Trades Workers,4362080,26.03,54140,23.01,47860
Boilermakers,12920,33.21,69070,30.91,64290
"Brickmasons, Blockmasons, and Stonemasons",64950,28.78,59870,27.38,56950
Brickmasons and Blockmasons,55950,29.53,61430,28.53,59340
Stonemasons,9000,24.12,50170,22.89,47610
Carpenters,668060,26.53,55190,23.20,48260
"Carpet, Floor, and Tile Installers and Finishers",83600,24.95,51890,22.74,47310
Carpet Installers,19790,23.42,48710,22.42,46640
"Floor Layers, Except Carpet, Wood, and Hard Tiles",18300,25.90,53880,23.11,48060
Floor Sanders and Finishers,4340,21.34,44380,18.82,39140
Tile and Stone Setters,41160,25.64,53330,22.99,47810
"Cement Masons, Concrete Finishers, and Terrazzo Workers",189240,24.52,51000,22.77,47360
Cement Masons and Concrete Finishers,186600,24.47,50900,22.76,47340
Terrazzo Workers and Finishers,2640,28.07,58380,23.40,48680
Construction Laborers,968760,21.22,44130,18.16,37770
Construction Equipment Operators,452780,26.87,55890,23.22,48290
"Paving, Surfacing, and Tamping Equipment Operators",44200,24.32,50590,22.58,46960
Pile Driver Operators,3760,36.51,75950,36.66,76260
Operating Engineers and Other Construction Equipment Operators,404820,27.06,56280,23.25,48360
"Drywall Installers, Ceiling Tile Installers, and Tapers",111650,27.00,56160,23.24,48350
Drywall and Ceiling Tile Installers,97070,26.35,54810,23.09,48040
Tapers,14580,31.32,65140,29.37,61080
Electricians,650580,30.44,63310,28.87,60040
Glaziers,52700,24.98,51950,22.68,47180
Insulation Workers,58370,24.18,50300,22.48,46760
"Insulation Workers, Floor, Ceiling, and Wall",30360,21.54,44810,19.17,39880
"Insulation Workers, Mechanical",28010,27.05,56260,23.20,48260
Painters and Paperhangers,216560,22.69,47180,21.94,45630
"Painters, Construction and Maintenance",214220,22.66,47140,21.92,45590
Paperhangers,2340,24.79,51560,22.89,47610
"Pipelayers, Plumbers, Pipefitters, and Steamfitters",450940,29.93,62250,28.51,59310
Pipelayers,33330,23.32,48510,22.11,45980
"Plumbers, Pipefitters, and Steamfitters",417620,30.46,63350,28.79,59880
